"('Brutele SC', 12392)",1
"('Webzilla B.V.', 35415)",1
"('Gigaclear Limited', 56329)",1
"('SilesNet s.r.o.', 43709)",1
"('Ehinet Srl', 43989)",1
"('NETAIR s.r.o.', 44065)",1
"('TELEKOM SRBIJA a.d.', 8400)",1
"('Afranet', 25184)",1
"('Vodafone Qatar Q.S.C.', 48728)",1
"('Zachodniopomorski Uniwersytet Technologiczny w Szczecinie, Akademickie Centrum Informatyki', 13119)",1
"('Arka Universal Impex Srl', 51461)",1
"('NextGenTel AS', 15659)",1
"('JMDI Jacek Maleszko', 41676)",1
"('Blicnet d.o.o.', 21107)",1
"('Hosting.de GmbH', 31333)",1
"('RouteLabel V.O.F.', 198203)",1
"('INTERNET CZ, a.s.', 24806)",1
"('AC-Net Externservice AB', 25176)",1
"('P/F Telefonverkid', 15389)",1
"('Hostinger International Limited', 47583)",1
"('A3 Sverige AB', 15782)",1
"('Nej.cz s.r.o.', 41046)",1
"('SWAN, a.s.', 5578)",1
"('New Telesystems, Ltd.', 31036)",1
"('PJSC Industrial Media Network', 25521)",1
"('SALZBURG AG fur Energie, Verkehr und Telekommunikation', 8445)",1
"('nemox.net Informationstechnologie OG', 31394)",1
"('lagis Internet Service Provider GmbH', 35369)",1
"('PJSC Bashinformsvyaz', 28812)",1
"('Stek Kazan LLC', 60651)",1
"('Coditel Brabant SPRL/BVBA', 44216)",1
"('Netia SA', 12741)",1
"('Vautron Rechenzentrum AG', 25504)",1
"('Closed Joint Stock Company TransTeleCom', 31364)",1
"('UAB Bite Lietuva', 13194)",1
"('Iskratelecom CJSC', 29124)",1
"('Nte Marked As', 34087)",1
"('Jump Networks Ltd', 8943)",1
"('Tigova Bilisim A.s.', 210099)",1
"('Prolocation B.V.', 41887)",1
"('Aura Fiber OE A/S', 204274)",1
"('Nagravision SA', 200584)",1
"('Eir Broadband', 5466)",1
"('ImproWare AG', 6772)",1
"('Rostelecom', 35154)",1
"('True B.V.', 15703)",1
"('Deninet KFT', 29278)",1
"('Central Telegraph Public Joint-stock Company', 8615)",1
"('JTGlobal', 8681)",1
"('Limited Liability Company Izet Telecom Ural', 41925)",1
"('Comcable SA', 48432)",1
"('komro GmbH', 29413)",1
"('CityLanCom LTD', 25308)",1
"('NatCoWeb Corp.', 46636)",1
"('Meganet-2003 LLC', 51410)",1
"('Conecta 3 Telecom S.l.', 200810)",1
"('Digital Cable Systems S.A.', 6910)",1
"('MTS PJSC', 44895)",1
"('Bredband2 AB', 29518)",1
"('Stadtwerke Hammelburg GmbH', 39441)",1
"('Telemar s.p.a.', 13097)",1
"('KaseNet oy', 199087)",1
"('Trgovsko radiodifuzno drustvo kablovska televizija ROBI DOOEL Stip', 41557)",1
"('Multimedia Polska S.A.', 21021)",1
"('TNNet Oy', 30798)",1
"('408 Fl4 CATTOWER', 56309)",1
"('Tamatiya EOOD', 50360)",1
"('RT Electronics 2015 EOOD', 203543)",1
"('Vereinigte Stadtwerke Media GmbH', 198930)",1
"('Rostelecom', 8997)",1
"('Nevod-Region Ltd', 51032)",1
"('TELE2', 1257)",1
"('JSC ER-Telecom Holding', 50498)",1
"('Faust Isp Ltd.', 29074)",1
"('RIA Link Ltd', 49701)",1
"('Multinet24 Sp.zoo', 197099)",1
"('NVVI Internet Marketing', 198509)",1
"('INETHD Pawel Urban', 198646)",1
"('Tov berlayn', 59461)",1
"('EWE-Tel GmbH', 9145)",1
"('ITsjefen AS', 44381)",1
"('STARNET, s.r.o.', 44489)",1
"('Emirates Telecommunications Corporation', 5384)",1
"('Orange Moldova S.A.', 25454)",1
"('Dansk Net A/S', 35158)",1
"('Information Technologies LLC', 204718)",1
"('Ch-net S.r.l.', 41011)",1
"('Information and Communication Technologies LLC', 35539)",1
"('Proline TM Ltd.', 35530)",1
"('Adman LLC', 57494)",1
"('Teleradiocompany Discovery Ltd.', 47702)",1
"('PE Gritcun Oleksandr Viktorovich', 47889)",1
"('VSHosting s.r.o.', 43541)",1
"('Hi-Net Srl', 45041)",1
"('CloudVPS B.V.', 35470)",1
"('Style-Com', 44068)",1
"('Traffic Broadband Communications Ltd.', 48452)",1
"('ITSOFT LLC', 48614)",1
"('Doruk Iletisim ve Otomasyon Sanayi ve Ticaret A.S.', 8685)",1
"('Orange Belgium SA', 47377)",1
"('A.g.e. Networks Sistems S.r.l.', 58022)",1
"('EZIT Kft.', 62292)",1
"('Emirates Integrated Telecommunications Company PJSC (EITC-DU)', 15802)",1
"('MTS PJSC', 49154)",1
"('Ukrdatakom Ltd', 48278)",1
"('UAB Kauno interneto sistemos', 25190)",1
"('PS Internet Company LLC', 48716)",1
"('Vodafone Spain', 12430)",1
"('Volia', 20850)",1
"('JSC ER-Telecom Holding', 42116)",1
"('JSC ER-Telecom Holding', 42682)",1
"('MTS PJSC', 35728)",1
"('METRONET s.r.o.', 43708)",1
"('Leaseweb USA, Inc.', 19148)",1
"('East & West Sp. z o.o.', 43118)",1
"('Filoo GmbH', 47215)",1
"('Rayaneh Danesh Golestan Complex P.J.S. Co.', 42440)",1
"('MEDI@LYS', 39005)",1
"('Tiera Centr Ltd', 39598)",1
"('VAK Ltd.', 39762)",1
"('Leaseweb Uk Limited', 205544)",1
"('Nexeon Technologies, Inc.', 20278)",1
"(""SINET, Cambodia's specialist Internet and Telecom Service Provider."", 131207)",1
"('Premier Communications', 53347)",1
"('Level 3 Parent, LLC', 3549)",1
