Organisation Name,Number of Peer
HETZNER,2
Com Hem AB,9
Serverius Holding B.V.,11
ZAO Tele-Service Tula,1
Shanghai UCloud Information Technology Company Limited,2
"Interserver, Inc",5
"Liquid Web, L.L.C",1
MAROSNET Telecommunication Company LLC,3
nemox.net Informationstechnologie OG,1
Yahoo Japan Corporation,2
A.g.e. Networks Sistems S.r.l.,1
"Slovak Telecom, a. s.",5
Cyber Wurx LLC,4
COPEL Telecomunicações S.A.,3
BITel Gesellschaft fuer Telekommunikation mbH,1
Spark New Zealand Trading Ltd.,7
"FAIRPOINT COMMUNICATIONS, INC.",3
Tele 2 Nederland B.V.,5
ARTERIA Networks Corporation,2
China Mobile communications corporation,13
TelstraClear Ltd,1
CDM,1
TalkTalk,12
Krypt Technologies,6
LLC KomTehCentr,1
Zenlayer Inc,2
TELEFÔNICA BRASIL S.A,6
So-net Entertainment Corporation,4
"Frontier Communications of America, Inc.",32
Jupiter Telecommunication Co. Ltd,2
South Slope Cooperative Telephone Company,1
Xtra Telecom S.A.,13
Rainbow network limited,1
"WEDOS Internet, a.s.",1
myLoc managed IT AG,21
Extreme Ltd,1
Trans-IX B.V.,2
"WholeSale Internet, Inc.",13
"Integra Telecom, Inc.",1
VivosWeb Inc.,1
PJSC Ukrtelecom,4
Softbank BB Corp.,4
manitu GmbH,2
"CenturyLink Communications, LLC",40
DNA Oyj,13
Central Telegraph Public Joint-stock Company,2
M-net Telekommunikations GmbH,13
SECURED SERVERS LLC,5
31173 Services AB,3
Cambrium IT Services B.V.,6
"XMission, L.C.",5
UAB Kauno interneto sistemos,1
Akenes SA,4
TELE2,4
Proximus NV,14
ESCOM Ltd. - Haskovo,1
"STARNET, s.r.o.",1
Spred Ltd,1
"BENESTRA, s.r.o.",2
MaxiTEL Telecom B.V.,2
Digital Energy Technologies Ltd.,3
"Softcom Internet Communications, Inc.",2
Orange Slovensko a.s.,3
"Charter Communications, Inc",16
lagis Internet Service Provider GmbH,2
Vodafone GmbH,14
Fastweb,12
Delta Cable Communications Ltd.,1
China Next Generation Internet CERNET2,5
Vodafone Italia S.p.A.,6
MegaIntelSystems Ltd.,1
Infinity Developments Limited,2
RCN,8
Global Layer B.V.,4
ThePacific.Net Ltd,1
Ostrowski Sp. z o.o.,1
UCloud (HK) Holdings Group Limited,5
PJSC MegaFon,1
THC Projects SRL,32
Metronet (UK) Limited,1
T-Mobile Czech Republic a.s.,6
ShenZhen Topway Video Communication Co. Ltd,2
Comlink Telecom Ltd.,12
Verdina Ltd.,1
